country,country1,country2,country_others,director,director_cn1,director_cn2,director_en1,director_en2,info,movie_name,ranking,score,tag,year
USA,USA,,,Alfred Hitchcock,,,Alfred Hitchcock,,"22 May 1958 (UK)
",Vertigo,91,8.3,"Mystery,Romance,Thriller",1958
"Germany,USA",Germany,USA,,Quentin Tarantino,,,Quentin Tarantino,,"21 August 2009 (USA)
",Inglourious Basterds,85,8.3,"Adventure,Drama,War",2009
"USA,France,Czechoslovakia,Italy",USA,France,"Czechoslovakia,Italy",Milos Forman,,,Milos Forman,,"19 September 1984 (USA)
",Amadeus,83,8.3,"Biography,Drama,History",1984
USA,USA,,,Michel Gondry,,,Michel Gondry,,"19 March 2004 (USA)
",Eternal Sunshine of the Spotless Mind,92,8.3,"Drama,Romance,Sci-Fi",2004
USA,USA,,,Richard Marquand,,,Richard Marquand,,"25 May 1983 (USA)
",Star Wars: Episode VI - Return of the Jedi,80,8.3,"Action,Adventure,Fantasy",1983
Germany,Germany,,,Fritz Lang,,,Fritz Lang,,"31 August 1931 (Sweden)
",M,87,8.3,"Crime,Mystery,Thriller",1931
USA,USA,,,John Lasseter,,,John Lasseter,,"22 November 1995 (USA)
",Toy Story,82,8.3,"Animation,Adventure,Comedy",1995
India,India,,,"Aamir Khan,Amole Gupte",,,Aamir Khan,Amole Gupte,"21 December 2007 (India)
",Like Stars on Earth,81,8.3,"Drama,Family",2007
USA,USA,,,Mel Gibson,,,Mel Gibson,,"24 May 1995 (USA)
",Braveheart,77,8.3,"Biography,Drama,History",1995
West Germany,West Germany,,,Wolfgang Petersen,,,Wolfgang Petersen,,"10 February 1982 (USA)
",Das Boot,78,8.3,"Adventure,Drama,Thriller",1981
USA,USA,,,Sam Mendes,,,Sam Mendes,,"1 October 1999 (USA)
",American Beauty,75,8.3,Drama,1999
"USA,Italy",USA,Italy,,Sergio Leone,,,Sergio Leone,,"1 June 1984 (USA)
",Once Upon a Time in America,72,8.3,"Crime,Drama",1984
"USA,UK",USA,UK,,James Cameron,,,James Cameron,,"18 July 1986 (USA)
",Aliens,73,8.3,"Action,Adventure,Sci-Fi",1986
India,India,,,Rajkumar Hirani,,,Rajkumar Hirani,,"8 December 2011 (China)
",3 Idiots,79,8.3,"Comedy,Drama",2009
Japan,Japan,,,Makoto Shinkai,,,Makoto Shinkai,,"7 April 2017 (USA)
",Your Name.,74,8.3,"Animation,Drama,Fantasy",2016
USA,USA,,,Billy Wilder,,,Billy Wilder,,"6 February 1958 (USA)
",Witness for the Prosecution,70,8.3,"Crime,Drama,Film-Noir",1957
USA,USA,,,"Lee Unkrich,Adrian Molina",,,Lee Unkrich,Adrian Molina,"22 November 2017 (USA)
",Coco,76,8.3,"Animation,Adventure,Family",2017
South Korea,South Korea,,,Chan-wook Park,,,Chan-wook Park,,"21 November 2003 (South Korea)
",Oldboy,69,8.4,"Action,Drama,Mystery",2003
"UK,USA",UK,USA,,Christopher Nolan,,,Christopher Nolan,,"20 July 2012 (USA)
",The Dark Knight Rises,71,8.3,"Action,Thriller",2012
"UK,USA",UK,USA,,Stanley Kubrick,,,Stanley Kubrick,,"29 January 1964 (USA)
",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,68,8.4,Comedy,1964
Japan,Japan,,,Hayao Miyazaki,,,Hayao Miyazaki,,"19 December 1997 (USA)
",Princess Mononoke,66,8.4,"Animation,Adventure,Fantasy",1997
USA,USA,,,Billy Wilder,,,Billy Wilder,,"29 September 1950 (Australia)
",Sunset Blvd.,67,8.4,"Drama,Film-Noir",1950
USA,USA,,,"Bob Persichetti,Peter Ramsey,1 more credit",,,Bob Persichetti,Peter Ramsey,"14 December 2018 (USA)
",Spider-Man: Into the Spider-Verse,64,8.4,"Animation,Action,Adventure",2018
USA,USA,,,Quentin Tarantino,,,Quentin Tarantino,,"25 December 2012 (USA)
",Django Unchained,60,8.4,"Drama,Western",2012
USA,USA,,,Andrew Stanton,,,Andrew Stanton,,"27 June 2008 (USA)
",WALL·E,65,8.4,"Animation,Adventure,Family",2008
"UK,USA",UK,USA,,Stanley Kubrick,,,Stanley Kubrick,,"13 June 1980 (USA)
",The Shining,62,8.4,"Drama,Horror",1980
Germany,Germany,,,Florian Henckel von Donnersmarck,,,Florian Henckel von Donnersmarck,,"30 March 2007 (USA)
",The Lives of Others,59,8.4,"Drama,Mystery,Thriller",2006
USA,USA,,,Stanley Kubrick,,,Stanley Kubrick,,"November 1957 (West Germany)
",Paths of Glory,63,8.4,"Drama,War",1957
USA,USA,,,Charles Chaplin,,,Charles Chaplin,,"7 March 1941 (USA)
",The Great Dictator,57,8.4,"Comedy,Drama,War",1940
USA,USA,,,"Anthony Russo,Joe Russo",,,Anthony Russo,Joe Russo,"27 April 2018 (USA)
",Avengers: Infinity War,61,8.4,"Action,Adventure,Sci-Fi",2018
USA,USA,,,"Anthony Russo,Joe Russo",,,Anthony Russo,Joe Russo,"26 April 2019 (USA)
",Avengers: Endgame,58,8.4,"Action,Adventure,Drama",2019
USA,USA,,,Christopher Nolan,,,Christopher Nolan,,"25 May 2001 (USA)
",Memento,56,8.4,"Mystery,Thriller",2000
USA,USA,,,Steven Spielberg,,,Steven Spielberg,,"12 June 1981 (USA)
",Raiders of the Lost Ark,54,8.4,"Action,Adventure",1981
"UK,USA",UK,USA,,Ridley Scott,,,Ridley Scott,,"22 June 1979 (USA)
",Alien,53,8.4,"Horror,Sci-Fi",1979
USA,USA,,,Alfred Hitchcock,,,Alfred Hitchcock,,"September 1954 (USA)
",Rear Window,51,8.4,"Mystery,Thriller",1954
Japan,Japan,,,Isao Takahata,,,Isao Takahata,,"26 July 1989 (USA)
",Grave of the Fireflies,50,8.4,"Animation,Drama,War",1988
"Italy,USA",Italy,USA,,Sergio Leone,,,Sergio Leone,,"4 July 1969 (USA)
",Once Upon a Time in the West,47,8.5,Western,1968
"Italy,France",Italy,France,,Giuseppe Tornatore,,,Giuseppe Tornatore,,"23 February 1990 (USA)
",Cinema Paradiso,52,8.4,Drama,1988
"USA,UK",USA,UK,,Christopher Nolan,,,Christopher Nolan,,"20 October 2006 (USA)
",The Prestige,48,8.5,"Drama,Mystery,Sci-Fi",2006
USA,USA,,,Damien Chazelle,,,Damien Chazelle,,"15 October 2014 (Philippines)
",Whiplash,46,8.5,"Drama,Music",2014
USA,USA,,,Michael Curtiz,,,Michael Curtiz,,"23 January 1943 (USA)
",Casablanca,49,8.4,"Drama,Romance,War",1942
USA,USA,,,Francis Ford Coppola,,,Francis Ford Coppola,,"15 August 1979 (USA)
",Apocalypse Now,55,8.4,"Drama,Mystery,War",1979
France,France,,,"Olivier Nakache,Éric Toledano",,,Olivier Nakache,Éric Toledano,"2 November 2011 (France)
",The Intouchables,43,8.5,"Biography,Comedy,Drama",2011
USA,USA,,,Martin Scorsese,,,Martin Scorsese,,"6 October 2006 (USA)
",The Departed,45,8.5,"Crime,Drama,Thriller",2006
USA,USA,,,Alfred Hitchcock,,,Alfred Hitchcock,,"8 September 1960 (USA)
",Psycho,41,8.5,"Horror,Mystery,Thriller",1960
USA,USA,,,Charles Chaplin,,,Charles Chaplin,,"25 February 1936 (USA)
",Modern Times,40,8.5,"Comedy,Drama,Family",1936
"USA,UK,Malta,Morocco",USA,UK,"Malta,Morocco",Ridley Scott,,,Ridley Scott,,"5 May 2000 (USA)
",Gladiator,42,8.5,"Action,Adventure,Drama",2000
USA,USA,,,Robert Zemeckis,,,Robert Zemeckis,,"3 July 1985 (USA)
",Back to the Future,37,8.5,"Adventure,Comedy,Sci-Fi",1985
USA,USA,,,James Cameron,,,James Cameron,,"3 July 1991 (USA)
",Terminator 2: Judgment Day,39,8.5,"Action,Sci-Fi",1991
USA,USA,,,Tony Kaye,,,Tony Kaye,,"20 November 1998 (USA)
",American History X,36,8.5,Drama,1998
USA,USA,,,Charles Chaplin,,,Charles Chaplin,,"7 March 1931 (USA)
",City Lights,44,8.5,"Comedy,Drama,Romance",1931
Japan,Japan,,,Masaki Kobayashi,,,Masaki Kobayashi,,"4 August 1964 (USA)
",Harakiri,34,8.5,"Drama,History",1962
USA,USA,,,"Roger Allers,Rob Minkoff",,,Roger Allers,Rob Minkoff,"24 June 1994 (USA)
",The Lion King,35,8.5,"Animation,Adventure,Drama",1994
South Korea,South Korea,,,Bong Joon Ho,,,Bong Joon Ho,,"8 November 2019 (USA)
",Parasite,32,8.5,"Comedy,Drama,Thriller",2019
Japan,Japan,,,Hayao Miyazaki,,,Hayao Miyazaki,,"28 March 2003 (USA)
",Spirited Away,28,8.5,"Animation,Adventure,Family",2001
"USA,UK,Canada",USA,UK,Canada,Christopher Nolan,,,Christopher Nolan,,"7 November 2014 (USA)
",Interstellar,30,8.5,"Adventure,Drama,Sci-Fi",2014
USA,USA,,,Frank Darabont,,,Frank Darabont,,"10 December 1999 (USA)
",The Green Mile,29,8.5,"Crime,Drama,Fantasy",1999
USA,USA,,,Steven Spielberg,,,Steven Spielberg,,"24 July 1998 (USA)
",Saving Private Ryan,27,8.5,"Drama,War",1998
"UK,France,Poland,Germany",UK,France,"Poland,Germany",Roman Polanski,,,Roman Polanski,,"28 March 2003 (USA)
",The Pianist,38,8.5,"Biography,Drama,Music",2002
France,France,,,Luc Besson,,,Luc Besson,,"18 November 1994 (USA)
",Léon: The Professional,31,8.5,"Action,Crime,Drama",1994
USA,USA,,,George Lucas,,,George Lucas,,"25 May 1977 (USA)
",Star Wars: Episode IV - A New Hope,26,8.6,"Action,Adventure,Fantasy",1977
USA,USA,,,Frank Capra,,,Frank Capra,,"7 January 1947 (USA)
",It's a Wonderful Life,25,8.6,"Drama,Family,Fantasy",1946
Italy,Italy,,,Roberto Benigni,,,Roberto Benigni,,"12 February 1999 (USA)
",Life Is Beautiful,23,8.6,"Comedy,Drama,Romance",1997
USA,USA,,,Jonathan Demme,,,Jonathan Demme,,"14 February 1991 (USA)
",The Silence of the Lambs,24,8.6,"Crime,Drama,Thriller",1991
"USA,Germany",USA,Germany,,Bryan Singer,,,Bryan Singer,,"15 September 1995 (USA)
",The Usual Suspects,33,8.5,"Crime,Mystery,Thriller",1995
Japan,Japan,,,Akira Kurosawa,,,Akira Kurosawa,,"19 November 1956 (USA)
",Seven Samurai,19,8.6,"Action,Adventure,Drama",1954
"Brazil,France,Germany",Brazil,France,Germany,"Fernando Meirelles,Kátia Lund",,,Fernando Meirelles,Kátia Lund,"13 February 2004 (USA)
",City of God,22,8.6,"Crime,Drama",2002
"USA,Canada",USA,Canada,,Todd Phillips,,,Todd Phillips,,"4 October 2019 (USA)
",Joker,20,8.6,"Crime,Drama,Thriller",2019
USA,USA,,,Milos Forman,,,Milos Forman,,"19 November 1975 (USA)
",One Flew Over the Cuckoo's Nest,18,8.6,Drama,1975
"USA,UK",USA,UK,,Christopher Nolan,,,Christopher Nolan,,"16 July 2010 (USA)
",Inception,13,8.7,"Action,Adventure,Sci-Fi",2010
USA,USA,,,David Fincher,,,David Fincher,,"22 September 1995 (USA)
",Se7en,21,8.6,"Crime,Drama,Mystery",1995
