country,country1,country2,country_others,director,director_cn1,director_cn2,director_en1,director_en2,info,movie_name,ranking,score,tag,year
"Germany,USA",Germany,USA,,Clint Eastwood,,,Clint Eastwood,,"9 January 2009 (USA)
",Gran Torino,179,8.1,Drama,2008
UK,UK,,,Carol Reed,,,Carol Reed,,"12 October 1949 (France)
",The Third Man,180,8.1,"Film-Noir,Mystery,Thriller",1949
Japan,Japan,,,Yasujir? Ozu,,,Yasujir? Ozu,,"13 March 1972 (USA)
",Tokyo Story,181,8.1,Drama,1953
USA,USA,,,Elia Kazan,,,Elia Kazan,,"22 June 1954 (Japan)
",On the Waterfront,182,8.1,"Crime,Drama,Thriller",1954
"Argentina,Spain,France,UK",Argentina,Spain,"France,UK",Damián Szifron,,,Damián Szifron,,"21 August 2014 (Argentina)
",Wild Tales,183,8.1,"Comedy,Drama,Thriller",2014
USA,USA,,,Michael Cimino,,,Michael Cimino,,"23 February 1979 (USA)
",The Deer Hunter,184,8.1,"Drama,War",1978
"Sweden,France,West Germany,UK,Norway",Sweden,France,"West Germany,UK,Norway",Ingmar Bergman,,,Ingmar Bergman,,"18 October 1978 (USA)
",Autumn Sonata,185,8.1,"Drama,Music",1978
"Ireland,UK",Ireland,UK,,Jim Sheridan,,,Jim Sheridan,,"25 February 1994 (USA)
",In the Name of the Father,186,8.1,"Biography,Crime,Drama",1993
Australia,Australia,,,Adam Elliot,,,Adam Elliot,,"9 April 2009 (Australia)
",Mary and Max,187,8.1,"Animation,Comedy,Drama",2009
USA,USA,,,David Fincher,,,David Fincher,,"3 October 2014 (USA)
",Gone Girl,188,8.1,"Drama,Mystery,Thriller",2014
"Germany,USA",Germany,USA,,Wes Anderson,,,Wes Anderson,,"28 March 2014 (USA)
",The Grand Budapest Hotel,189,8.1,"Adventure,Comedy,Crime",2014
"Australia,USA",Australia,USA,,Mel Gibson,,,Mel Gibson,,"4 November 2016 (USA)
",Hacksaw Ridge,190,8.1,"Biography,Drama,History",2016
"USA,Austria,Switzerland",USA,Austria,Switzerland,Richard Linklater,,,Richard Linklater,,"27 January 1995 (USA)
",Before Sunrise,191,8.1,"Drama,Romance",1995
"USA,Canada",USA,Canada,,Steven Spielberg,,,Steven Spielberg,,"25 December 2002 (USA)
",Catch Me If You Can,192,8.1,"Biography,Crime,Drama",2002
India,India,,,Sriram Raghavan,,,Sriram Raghavan,,"5 October 2018 (USA)
",Andhadhun,193,8.1,"Crime,Drama,Music",2018
Sweden,Sweden,,,Ingmar Bergman,,,Ingmar Bergman,,"16 March 1967 (USA)
",Persona,194,8.1,"Drama,Thriller",1966
"USA,UK",USA,UK,,"Joel Coen,Ethan Coen",,,Joel Coen,Ethan Coen,"6 March 1998 (USA)
",The Big Lebowski,195,8.1,"Comedy,Crime,Sport",1998
USA,USA,,,Denis Villeneuve,,,Denis Villeneuve,,"20 September 2013 (USA)
",Prisoners,196,8.1,"Crime,Drama,Mystery",2013
USA,USA,,,Buster Keaton,,,Buster Keaton,,"11 May 1924 (USA)
",Sherlock Jr.,197,8.1,"Action,Comedy,Romance",1924
USA,USA,,,Ernst Lubitsch,,,Ernst Lubitsch,,"6 March 1942 (USA)
",To Be or Not to Be,198,8.1,"Comedy,War",1942
USA,USA,,,"Clyde Bruckman,Buster Keaton",,,Clyde Bruckman,Buster Keaton,"2 January 1927 (USA)
",The General,199,8.1,"Action,Adventure,Comedy",1926
USA,USA,,,"Dean DeBlois,Chris Sanders",,,Dean DeBlois,Chris Sanders,"26 March 2010 (USA)
",How to Train Your Dragon,200,8.1,"Animation,Action,Adventure",2010
"Turkey,France,Bulgaria",Turkey,France,Bulgaria,Yavuz Turgul,,,Yavuz Turgul,,"29 November 1996 (Turkey)
",The Bandit,201,8.1,"Crime,Drama,Thriller",1996
USA,USA,,,James Mangold,,,James Mangold,,"15 November 2019 (USA)
",Ford v Ferrari,202,8.1,"Action,Biography,Drama",2019
"USA,UK",USA,UK,,Steve McQueen,,,Steve McQueen,,"8 November 2013 (USA)
",12 Years a Slave,203,8.1,"Biography,Drama,History",2013
"UK,USA",UK,USA,,Stanley Kubrick,,,Stanley Kubrick,,"18 December 1975 (USA)
",Barry Lyndon,204,8.1,"Adventure,Drama,History",1975
USA,USA,,,Frank Capra,,,Frank Capra,,"19 October 1939 (USA)
",Mr. Smith Goes to Washington,205,8.1,"Comedy,Drama",1939
"UK,Italy,Yugoslavia",UK,Italy,Yugoslavia,Emir Kusturica,,,Emir Kusturica,,"9 February 1990 (USA)
",Time of the Gypsies,206,8.1,"Comedy,Crime,Drama",1988
"Australia,South Africa,USA",Australia,South Africa,USA,George Miller,,,George Miller,,"15 May 2015 (USA)
",Mad Max: Fury Road,207,8.1,"Action,Adventure,Sci-Fi",2015
USA,USA,,,Clint Eastwood,,,Clint Eastwood,,"28 January 2005 (USA)
",Million Dollar Baby,208,8.1,"Drama,Sport",2004
USA,USA,,,Sidney Lumet,,,Sidney Lumet,,"27 November 1976 (USA)
",Network,209,8.1,Drama,1976
USA,USA,,,Rob Reiner,,,Rob Reiner,,"22 August 1986 (USA)
",Stand by Me,210,8.1,"Adventure,Drama",1986
USA,USA,,,Peter Weir,,,Peter Weir,,"9 June 1989 (USA)
",Dead Poets Society,211,8.1,"Comedy,Drama",1989
USA,USA,,,Stuart Rosenberg,,,Stuart Rosenberg,,"1 November 1967 (USA)
",Cool Hand Luke,212,8.1,"Crime,Drama",1967
USA,USA,,,William Wyler,,,William Wyler,,"18 November 1959 (Canada)
",Ben-Hur,213,8.1,"Adventure,Drama,History",1959
"UK,USA",UK,USA,,David Yates,,,David Yates,,"15 July 2011 (USA)
",Harry Potter and the Deathly Hallows: Part 2,214,8.1,"Adventure,Drama,Fantasy",2011
"UK,USA",UK,USA,,Lasse Hallstr?m,,,Lasse Hallstr?m,,"12 March 2010 (UK)
",Hachi: A Dog's Tale,215,8.1,"Biography,Drama,Family",2009
"USA,UK",USA,UK,,Oliver Stone,,,Oliver Stone,,"6 February 1987 (USA)
",Platoon,216,8.1,"Drama,War",1986
USA,USA,,,Sean Penn,,,Sean Penn,,"19 October 2007 (USA)
",Into the Wild,217,8.1,"Adventure,Biography,Drama",2007
USA,USA,,,James Mangold,,,James Mangold,,"3 March 2017 (USA)
",Logan,218,8.1,"Action,Drama,Sci-Fi",2017
South Korea,South Korea,,,Chan-wook Park,,,Chan-wook Park,,"1 June 2016 (South Korea)
",The Handmaiden,219,8,"Drama,Romance,Thriller",2016
"UK,Germany,USA",UK,Germany,USA,Ron Howard,,,Ron Howard,,"27 September 2013 (USA)
",Rush,220,8,"Action,Biography,Drama",2013
"France,Italy",France,Italy,,Henri-Georges Clouzot,,,Henri-Georges Clouzot,,"16 February 1955 (USA)
",The Wages of Fear,221,8,"Adventure,Drama,Thriller",1953
UK,UK,,,Terry Jones,,,Terry Jones,,"17 August 1979 (USA)
",Monty Python's Life of Brian,222,8,Comedy,1979
India,India,,,"Gayatri,Pushkar",,,Gayatri,Pushkar,"21 July 2017 (USA)
",Vikram Vedha,223,8,"Action,Crime,Drama",2017
France,France,,,Fran?ois Truffaut,,,Fran?ois Truffaut,,"16 November 1959 (USA)
",The 400 Blows,224,8,"Crime,Drama",1959
USA,USA,,,Tom McCarthy,,,Tom McCarthy,,"20 November 2015 (USA)
",Spotlight,225,8,"Biography,Crime,Drama",2015
France,France,,,Carl Theodor Dreyer,,,Carl Theodor Dreyer,,"25 October 1928 (France)
",The Passion of Joan of Arc,226,8,"Biography,Drama,History",1928
"UK,South Africa,Italy",UK,South Africa,Italy,Terry George,,,Terry George,,"4 February 2005 (USA)
",Hotel Rwanda,227,8,"Biography,Drama,History",2004
France,France,,,Mathieu Kassovitz,,,Mathieu Kassovitz,,"23 February 1996 (USA)
",La Haine,228,8,"Crime,Drama",1995
Soviet Union,Soviet Union,,,Andrei Tarkovsky,,,Andrei Tarkovsky,,"October 1973 (USA)
",Andrei Rublev,229,8,"Biography,Drama,History",1966
Mexico,Mexico,,,Alejandro G. I?árritu,,,Alejandro G. I?árritu,,"13 April 2001 (USA)
",Amores Perros,230,8,"Drama,Thriller",2000
USA,USA,,,John G. Avildsen,,,John G. Avildsen,,"3 December 1976 (USA)
",Rocky,231,8,"Drama,Sport",1976
Japan,Japan,,,Hayao Miyazaki,,,Hayao Miyazaki,,"25 November 1987 (USA)
",Nausica? of the Valley of the Wind,232,8,"Animation,Adventure,Fantasy",1984
USA,USA,,,"Pete Docter,David Silverman,1 more credit",,,Pete Docter,David Silverman,"2 November 2001 (USA)
","Monsters, Inc.",233,8,"Animation,Adventure,Comedy",2001
India,India,,,Anurag Kashyap,,,Anurag Kashyap,,"22 June 2012 (India)
",Gangs of Wasseypur,234,8,"Action,Crime,Drama",2012
France,France,,,Jules Dassin,,,Jules Dassin,,"5 June 1956 (USA)
",Rififi,235,8,"Crime,Drama,Thriller",1955
USA,USA,,,Alfred Hitchcock,,,Alfred Hitchcock,,"12 April 1940 (USA)
",Rebecca,236,8,"Drama,Mystery,Romance",1940
India,India,,,Rakeysh Omprakash Mehra,,,Rakeysh Omprakash Mehra,,"26 January 2006 (USA)
",Rang De Basanti,237,8,"Comedy,Crime,Drama",2006
"USA,France",USA,France,,Richard Linklater,,,Richard Linklater,,"30 July 2004 (USA)
",Before Sunset,238,8,"Drama,Romance",2004
"Hong Kong,China",Hong Kong,China,,Kar-Wai Wong,,,Kar-Wai Wong,,"9 March 2001 (USA)
",In the Mood for Love,239,8,"Drama,Romance",2000
France,France,,,Céline Sciamma,,,Céline Sciamma,,"14 February 2020 (USA)
",Portrait of a Lady on Fire,240,8,"Drama,Romance",2019
"West Germany,France,UK",West Germany,France,UK,Wim Wenders,,,Wim Wenders,,"23 August 1984 (UK)
","Paris, Texas",241,8,Drama,1984
USA,USA,,,Frank Capra,,,Frank Capra,,"22 February 1934 (USA)
",It Happened One Night,242,8,"Comedy,Romance",1934
Spain,Spain,,,Oriol Paulo,,,Oriol Paulo,,"15 September 2017 (China)
",The Invisible Guest,243,8,"Crime,Drama,Mystery",2016
India,India,,,Nishikant Kamat,,,Nishikant Kamat,,"31 July 2015 (USA)
",Drishyam,244,8,"Crime,Drama,Mystery",2015
USA,USA,,,Tate Taylor,,,Tate Taylor,,"10 August 2011 (USA)
",The Help,245,8,Drama,2011
USA,USA,,,Rob Reiner,,,Rob Reiner,,"9 October 1987 (USA)
",The Princess Bride,246,8,"Adventure,Family,Fantasy",1987
"Italy,Algeria",Italy,Algeria,,Gillo Pontecorvo,,,Gillo Pontecorvo,,"20 September 1967 (USA)
",The Battle of Algiers,247,8,"Drama,War",1966
"Estonia,Georgia",Estonia,Georgia,,Zaza Urushadze,,,Zaza Urushadze,,"17 April 2015 (USA)
",Tangerines,248,8,"Drama,War",2013
"UK,USA",UK,USA,,James Cameron,,,James Cameron,,"26 October 1984 (USA)
",The Terminator,249,8,"Action,Sci-Fi",1984
Turkey,Turkey,,,Mehmet Ada ?ztekin,,,Mehmet Ada ?ztekin,,"15 October 2020 (China)
",7 Kogustaki Mucize,250,8,Drama,2019
